問題類型,單字,目前詞性,建議詞性,例句,來源,說明
同單字詞性矛盾,graduate,(n.),需人工確認,My graduation ceremony will be held next month; I'm so excit,龍騰-B3-U2,"同一單字 ""graduate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,gray,(adj.),需人工確認,The sky looks gray today.,康軒-B5-U6,"同一單字 ""gray"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,guarantee,(v.),需人工確認,George believed his excellent performance at work would guar,三民-B2-U5,"同一單字 ""guarantee"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,guard,(n.),需人工確認,The security guard at the mall quickly responded when the al,三民-B5-U4,"同一單字 ""guard"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,guess,(v.),需人工確認,Can you guess what's in the box?,翰林-B5-U2,"同一單字 ""guess"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,guide,(n.),需人工確認,"The lake is located deep in the mountains, and travelers may",三民-B2-U1,"同一單字 ""guide"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hand,(n.),需人工確認,Please raise your hand if you have a question.,康軒-B3-U2,"同一單字 ""hand"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hand,(n.),需人工確認,I hurt my hand while playing basketball.,翰林-B1-U3,"同一單字 ""hand"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,handle,(v.),需人工確認,I believe that Darren can handle the problem very well. Just,三民-B2-U2,"同一單字 ""handle"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,harvest,(v.),需人工確認,"With rich soil and plenty of water, rice in this area can be",三民-B2-U9,"同一單字 ""harvest"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,haunt,(v.),需人工確認,Regret over past decisions can haunt a person for years.,三民-B5-U5,"同一單字 ""haunt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,head,(n.),需人工確認,He nodded his head to show that he agreed.,康軒-B3-U2,"同一單字 ""head"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,head,(v.),需人工確認,Let's head to the beach.,翰林-B6-U1,"同一單字 ""head"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,heat,(n.),需人工確認,The heat in summer can be very strong.,翰林-B5-U6,"同一單字 ""heat"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,help,(n.),需人工確認,I need some help with my homework.,翰林-B1-U6,"同一單字 ""help"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hesitate,(v.),需人工確認,Don't hesitate to ask if you have any questions about the as,龍騰-B3-U1,"同一單字 ""hesitate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,highlight,(v.),需人工確認,This research article highlights the benefits of exercising ,三民-B3-U5,"同一單字 ""highlight"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,historic,(n.),需人工確認,My brother loves reading about ancient Roman history.,龍騰-B3-U5,"同一單字 ""historic"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hit,(v.),需人工確認,Don't hit your brother.,翰林-B3-U5,"同一單字 ""hit"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,honor,(v.),需人工確認,We honor the soldiers on this day.,南一-B6-U3,"同一單字 ""honor"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,honor,(n.),需人工確認,"He won the game, and it was a big honor for his school.",南一-B4-U6,"同一單字 ""honor"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hook,(n.),需人工確認,Tom used a picture hook to hang up his favorite photograph i,三民-B5-U6,"同一單字 ""hook"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hope,(v.),需人工確認,I hope we can travel again next year.,康軒-B5-U3,"同一單字 ""hope"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hunt,(n.),需人工確認,The children are on an egg hunt.,南一-B1-U4,"同一單字 ""hunt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hunt,(v.),需人工確認,The lions hunt for food at night.,南一-B5-U2,"同一單字 ""hunt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,hurt / hurt,(v.),需人工確認,Be careful not to hurt yourself with that knife.,康軒-B3-U2,"同一單字 ""hurt / hurt"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,ignore,(v.),需人工確認,Don't ignore the teacher when she's speaking.,龍騰-B1-U2,"同一單字 ""ignore"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,immortal,(n.),需人工確認,Greek myths are filled with stories of immortals and their a,三民-B5-U3,"同一單字 ""immortal"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,import,(v.),需人工確認,"With its high demand for oil, India imports more than one mi",三民-B2-U9,"同一單字 ""import"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,impressive,(adj.),需人工確認,Her presentation was really impressive; everyone applauded.,龍騰-B1-U3,"同一單字 ""impressive"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,individual,(n.),需人工確認,"You don’t need to find a partner, since both individuals and",三民-B3-U4,"同一單字 ""individual"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,inspire,(n.),需人工確認,His art is a great inspiration to young painters.,龍騰-B1-U2,"同一單字 ""inspire"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,insult,(n.),需人工確認,“Carrot” is Anne’s nickname at school because of her red hai,三民-B4-U3,"同一單字 ""insult"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,interest,(n.),需人工確認,He has a big interest in music.,康軒-B5-U2,"同一單字 ""interest"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,interview,(n.),需人工確認,Lisa had an interview for her first job.,康軒-B5-U4,"同一單字 ""interview"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,interview,(v.),需人工確認,The teacher will interview the new student.,翰林-B3-U4,"同一單字 ""interview"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,jam,(v.),需人工確認,The fancy all-you-can-eat restaurant is always jammed with d,三民-B2-U1,"同一單字 ""jam"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,joyous,(n.),需人工確認,Seeing her family after a long time brought her great joy.,龍騰-B3-U4,"同一單字 ""joyous"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,jump rope,(n.),需人工確認,Jump rope is a fun exercise.,康軒-B5-U6,"同一單字 ""jump rope"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,kind,(adj.),需人工確認,The teacher is very kind to all the students.,翰林-B3-U1,"同一單字 ""kind"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,kind,(adj.),需人工確認,Thank you for being so kind to me.,南一-B1-U4,"同一單字 ""kind"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,labor,(n.),需人工確認,The farmers endured hours of labor under the blazing sun to ,三民-B4-U9,"同一單字 ""labor"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,land,(v.),需人工確認,The ball landed in the pool.,翰林-B5-U3,"同一單字 ""land"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,last,(adj.),需人工確認,We went to the beach last summer.,南一-B3-U1,"同一單字 ""last"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,last,(adj.),需人工確認,This is the last train tonight.,康軒-B2-U1,"同一單字 ""last"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,lie,(v.),需人工確認,It's better to tell the truth than to lie.,康軒-B5-U4,"同一單字 ""lie"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,lie,(n.),需人工確認,I can't believe you told a lie.,翰林-B5-U2,"同一單字 ""lie"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,light,(adj.),需人工確認,This bag is light and easy to carry.,翰林-B5-U5,"同一單字 ""light"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,light,(n.),需人工確認,Please turn on the light; it's too dark.,南一-B5-U2,"同一單字 ""light"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,list,(n.),需人工確認,I made a shopping list before going to the market.,康軒-B5-U2,"同一單字 ""list"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,list,(n.),需人工確認,I made a shopping list.,翰林-B5-U4,"同一單字 ""list"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,little,(n.),需人工確認,I only have a little money left.,南一-B3-U5,"同一單字 ""little"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,little,(adj.),需人工確認,Look at that cute little dog.,翰林-B2-U5,"同一單字 ""little"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,local,(adj.),需人工確認,We tried some local food at the night market.,康軒-B3-U5,"同一單字 ""local"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,local,(n.),需人工確認,Ask a local for the best food nearby.,南一-B6-U2,"同一單字 ""local"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,magic,(adj.),需人工確認,This magic pen can write in the air!,翰林-B1-U3,"同一單字 ""magic"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,manufacture,(v.),需人工確認,The company manufactures high-quality sneakers that are popu,三民-B4-U1,"同一單字 ""manufacture"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mark,(n.),需人工確認,I put a mark on the page I like.,康軒-B5-U5,"同一單字 ""mark"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mark,(v.),需人工確認,Mark the answer on the paper.,南一-B2-U3,"同一單字 ""mark"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,master,(n.),需人工確認,People who believe that they are the master of their own fat,三民-B2-U6,"同一單字 ""master"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,match,(v.),需人工確認,Your socks do not match your shoes.,康軒-B6-U3,"同一單字 ""match"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,match,(n.),需人工確認,Our school team won the football match yesterday.,,"同一單字 ""match"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,matter,(v.),需人工確認,It does not matter if you win or lose the game.,康軒-B4-U3,"同一單字 ""matter"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,matter,(n.),需人工確認,I do not know what the matter is with my computer.,翰林-B4-U5,"同一單字 ""matter"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mean,(v.),需人工確認,What does this word mean?,翰林-B3-U1,"同一單字 ""mean"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mean,(adj.),需人工確認,Don't be so mean to your little sister.,南一-B5-U1,"同一單字 ""mean"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,measure,(v.),需人工確認,Scientists measure the temperature of the ocean every day.,龍騰-B4-U8,"同一單字 ""measure"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,measure,(n.),需人工確認,The report recommended that the government take more measure,三民-B3-U5,"同一單字 ""measure"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,middle,(n.),需人工確認,He was standing in the middle of the room.,康軒-B3-U3,"同一單字 ""middle"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mock,(v.),需人工確認,Lisa was punished by her teacher because she mocked the timi,三民-B4-U9,"同一單字 ""mock"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,monkey,(adj.),需人工確認,The monkey jumped from tree to tree.,康軒-B1-U2,"同一單字 ""monkey"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,monkey,(n.),需人工確認,The monkey is jumping from tree to tree.,翰林-B1-U6,"同一單字 ""monkey"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,mop,(v.),需人工確認,My sister mops the floor every evening.,翰林-B3-U3,"同一單字 ""mop"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,move,(v.),需人工確認,We will move to a new house next week.,翰林-B3-U3,"同一單字 ""move"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,narrow,(adj.),需人工確認,The narrow path through the forest was barely wide enough fo,三民-B3-U6,"同一單字 ""narrow"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,native,(n.),需人工確認,"By speaking Spanish with the locals every day, Emma achieved",三民-B2-U4,"同一單字 ""native"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,neglect,(v.),需人工確認,Parents should never neglect spending quality time with thei,三民-B4-U2,"同一單字 ""neglect"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,north,(n.),需人工確認,The wind is coming from the north today.,康軒-B3-U6,"同一單字 ""north"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,notice,(v.),需人工確認,Did you notice the new poster on the wall?,翰林-B5-U5,"同一單字 ""notice"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,nurture,(v.),需人工確認,Sue nurtures her plants with daily watering and proper sunli,三民-B4-U7,"同一單字 ""nurture"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,order,(v.),需人工確認,We ordered three pizzas for lunch.,翰林-B3-U1,"同一單字 ""order"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,outline,(n.),需人工確認,The outline of the ship could be seen against the setting su,三民-B4-U6,"同一單字 ""outline"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,outside,(n.),需人工確認,It's cold outside.,翰林-B5-U4,"同一單字 ""outside"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,own,(adj.),需人工確認,She hopes to have her own business someday.,康軒-B3-U5,"同一單字 ""own"" 有 形容詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pace,(v.),需人工確認,"During a marathon, it’s important to pace oneself to avoid b",三民-B5-U2,"同一單字 ""pace"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pack,(n.),需人工確認,I bought a pack of cards at the store.,翰林-B5-U3,"同一單字 ""pack"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pack,(v.),需人工確認,I need to pack my bags for the trip.,南一-B5-U6,"同一單字 ""pack"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,package,(v.),需人工確認,A package from Grandma arrived today.,康軒-B5-U5,"同一單字 ""package"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,paint,(n.),需人工確認,We need more blue paint for the project.,康軒-B5-U6,"同一單字 ""paint"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,parallel,(n.),需人工確認,There are so many parallels between the two robberies that t,三民-B3-U7,"同一單字 ""parallel"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,participate,(v.),需人工確認,Everyone is encouraged to participate in the school festival,龍騰-B3-U4,"同一單字 ""participate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,past,(n.),需人工確認,It's important to learn from the past.,康軒-B3-U3,"同一單字 ""past"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,past,(adj.),需人工確認,We talked about our past memories.,翰林-B3-U3,"同一單字 ""past"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,paste,(n.),需人工確認,The student used paste to fix the paper.,康軒-B5-U6,"同一單字 ""paste"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,patient,(n.),需人工確認,The doctor told the patient that if he took the medicine reg,三民-B2-U7,"同一單字 ""patient"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pay,(v.),需人工確認,I will pay for the dinner.,翰林-B3-U6,"同一單字 ""pay"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,peak,(n.),需人工確認,The writer won three Pulitzer Prizes in a row. She is at the,三民-B3-U8,"同一單字 ""peak"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,perceive,(v.),需人工確認,I could perceive a subtle change in her tone of voice.,,"同一單字 ""perceive"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,perceive,(n.),需人工確認,The artist challenged traditional perceptions of beauty with,三民-B4-U6,"同一單字 ""perceive"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,picnic,(v.),需人工確認,Let's have a picnic in the park.,南一-B1-U5,"同一單字 ""picnic"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,picnic,(n.),需人工確認,"If it is sunny tomorrow, we will go on a picnic.",康軒-B4-U4,"同一單字 ""picnic"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,picture,(n.),需人工確認,I took a picture of the panda at the zoo.,康軒-B1-U2,"同一單字 ""picture"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,picture,(n.),需人工確認,My sister drew a beautiful picture.,南一-B1-U1,"同一單字 ""picture"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pink,(n.),需人工確認,Pink is Lily's favorite color.,康軒-B5-U5,"同一單字 ""pink"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,place,(n.),需人工確認,The library is my favorite place to read.,翰林-B1-U3,"同一單字 ""place"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,place,(n.),需人工確認,This is a good place for a picnic.,南一-B1-U2,"同一單字 ""place"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,plan,(v.),需人工確認,We need to plan our trip carefully.,康軒-B3-U4,"同一單字 ""plan"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,plant,(v.),需人工確認,My grandpa likes to plant vegetables.,南一-B3-U1,"同一單字 ""plant"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,plant,(n.),需人工確認,My mom grows a plant on the balcony because she likes flower,南一-B4-U5,"同一單字 ""plant"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,play,(n.),需人工確認,We are going to see a play tonight.,翰林-B3-U5,"同一單字 ""play"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,play,(v.),需人工確認,Mike will play the prince in the school play.,翰林-B5-U5,"同一單字 ""play"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,poison,(n.),需人工確認,The poison from the snake bite quickly spread through the hi,三民-B4-U7,"同一單字 ""poison"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pop,(v.),需人工確認,The balloon popped loudly.,康軒-B5-U5,"同一單字 ""pop"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,pop,(n.),需人工確認,My favorite pop star is Taylor Swift.,翰林-B5-U1,"同一單字 ""pop"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,post,(n.),需人工確認,I read your post on the school website.,翰林-B5-U2,"同一單字 ""post"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,potential,(n.),需人工確認,"With her talent for painting, Laura has great potential to b",三民-B3-U3,"同一單字 ""potential"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,praise,(v.),需人工確認,The teacher praised the students for their excellent present,三民-B3-U3,"同一單字 ""praise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,preference,(v.),需人工確認,"I prefer coffee over tea, especially in the morning.",龍騰-B3-U4,"同一單字 ""preference"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,premium,(n.),需人工確認,We pay a high premium for our car insurance every year.,,"同一單字 ""premium"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,premium,(adj.),需人工確認,"Mary purchased premium tickets for the theater, which includ",三民-B5-U6,"同一單字 ""premium"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,present,(v.),需人工確認,The students will present their posters in class today.,康軒-B5-U3,"同一單字 ""present"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,process,(v.),需人工確認,The politician hasn’t said anything publicly yet since he is,三民-B2-U6,"同一單字 ""process"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,professional,(n.),需人工確認,Many rich people often hire professionals to help them with ,三民-B2-U7,"同一單字 ""professional"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,progress,(n.),需人工確認,You have made great progress in English.,南一-B3-U4,"同一單字 ""progress"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,progress,(v.),需人工確認,"Tessa used to be a sales clerk in the shop, and now she has ",三民-B3-U2,"同一單字 ""progress"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,prompt,(n.),需人工確認,"When you close a file, a prompt may ask whether you want to ",三民-B3-U2,"同一單字 ""prompt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,public,(n.),需人工確認,The park is open to the public.,翰林-B5-U5,"同一單字 ""public"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,purple,(n.),需人工確認,Amy wore a beautiful dress in purple.,康軒-B5-U5,"同一單字 ""purple"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,quote,(v.),需人工確認,David liked to quote a line from famous philosophers in his ,三民-B4-U5,"同一單字 ""quote"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rain,(v.),需人工確認,It started to rain suddenly.,南一-B2-U2,"同一單字 ""rain"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,raise,(v.),需人工確認,My parents raised me to be kind and honest.,康軒-B5-U3,"同一單字 ""raise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,raise,(n.),需人工確認,My boss gave me a raise last month.,南一-B5-U1,"同一單字 ""raise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,recall,(v.),需人工確認,I recall my grandmother telling us fascinating stories every,三民-B5-U2,"同一單字 ""recall"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,recognize,(v.),需人工確認,"I hadn't seen him in years, so I didn't recognize him at fir",龍騰-B3-U4,"同一單字 ""recognize"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,refuse,(v.),需人工確認,"I asked him for help, but he flatly refused.",龍騰-B3-U1,"同一單字 ""refuse"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,release,(v.),需人工確認,After the doctors were sure that the patient had fully recov,三民-B4-U3,"同一單字 ""release"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rely,(v.),需人工確認,You can always rely on your best friends when you need help ,龍騰-B3-U2,"同一單字 ""rely"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,remark,(v.),需人工確認,"During the class discussion, Warner remarked on the signific",三民-B4-U2,"同一單字 ""remark"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,report,(n.),需人工確認,The teacher asked us to write a book report.,康軒-B3-U1,"同一單字 ""report"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rescue,(n.),需人工確認,"After hours of searching, the rescue of the missing child br",三民-B5-U5,"同一單字 ""rescue"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,resemble,(v.),需人工確認,She closely resembles her older sister.,龍騰-B3-U4,"同一單字 ""resemble"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,respond,(v.),需人工確認,The company has not responded to my complaint yet.,龍騰-B1-U2,"同一單字 ""respond"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rest,(n.),需人工確認,Let's take a short rest under the tree.,康軒-B1-U6,"同一單字 ""rest"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rest,(v.),需人工確認,You look tired; you should rest.,南一-B5-U2,"同一單字 ""rest"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,reward,(v.),需人工確認,Ms. Pfeiffer rewarded her employees with free movie tickets ,三民-B3-U4,"同一單字 ""reward"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,ride / rode,(v.),需人工確認,We rode our bikes all the way to the park.,康軒-B3-U6,"同一單字 ""ride / rode"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,right,(adj.),需人工確認,Your answer is right!,翰林-B1-U6,"同一單字 ""right"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,right,(n.),需人工確認,Everyone has the right to learn.,翰林-B3-U4,"同一單字 ""right"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,ring,(n.),需人工確認,She has a ring on her finger.,翰林-B3-U6,"同一單字 ""ring"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,ring,(n.),需人工確認,She wears a gold ring on her finger.,康軒-B6-U3,"同一單字 ""ring"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rise,(v.),需人工確認,The sun rises at 5:45 a.m. in summer.,康軒-B1-U5,"同一單字 ""rise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rise,(n.),需人工確認,The sun rises early in summer.,康軒-B5-U5,"同一單字 ""rise"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rival,(n.),需人工確認,"In the Olympic Games, athletes compete with outstanding riva",三民-B4-U3,"同一單字 ""rival"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,rock,(n.),需人工確認,He sat on a large rock by the river.,康軒-B3-U3,"同一單字 ""rock"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
